PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Is_Compliant,Order_Month,Total_Original_Cost,Total_Negotiated_Cost,Savings,Has_Defect,Row_Defect_Rate,Has_Delivery_Issue,Savings_Rate
PO-00011,Epsilon_Group,2022-03-31,2022-04-15,Raw Materials,Delivered,5000,78.49,73.68,18.0,Yes,1,2022-03,392450.0,368400.00000000006,24049.99999999994,1,0.0036,0,0.06128169193527823
PO-00012,Beta_Supplies,2023-08-28,2023-09-11,Raw Materials,Delivered,5000,88.96,86.58,115.0,Yes,1,2023-08,444799.99999999994,432900.0,11899.999999999942,1,0.023,0,0.02675359712230203
PO-00013,Beta_Supplies,2023-03-09,2023-03-26,Electronics,Pending,5000,86.74,74.86,51.0,Yes,1,2023-03,433700.0,374300.0,59400.0,1,0.0102,1,0.13696103297210052
PO-00014,Beta_Supplies,2022-02-02,,MRO,Delivered,5000,18.3,16.88,,Yes,1,2022-02,91500.0,84400.0,7100.0,0,,1,0.07759562841530054
PO-00015,Delta_Logistics,2022-01-31,2022-02-18,Electronics,Pending,5000,54.5,48.45,22.0,Yes,1,2022-01,272500.0,242250.0,30250.0,1,0.0044,1,0.11100917431192661
PO-00016,Beta_Supplies,2022-04-06,2022-04-21,Packaging,Delivered,5000,15.41,15.12,,Yes,1,2022-04,77050.0,75600.0,1450.0,0,,0,0.01881894873458793
PO-00017,Delta_Logistics,2022-08-12,2022-08-31,MRO,Delivered,1173,61.54,55.49,172.0,No,0,2022-08,72186.42,65089.770000000004,7096.649999999994,1,0.1466325660699062,0,0.0983100422489437
PO-00018,Epsilon_Group,2022-08-27,2022-09-04,Raw Materials,Delivered,921,51.48,50.61,,Yes,1,2022-08,47413.079999999994,46611.81,801.2699999999968,0,,0,0.016899766899766834
PO-00019,Gamma_Co,2023-06-02,2023-06-05,Raw Materials,Partially Delivered,1737,97.53,87.37,79.0,Yes,1,2023-06,169409.61000000002,151761.69,17647.920000000013,1,0.04548071387449626,0,0.1041730749512971
PO-00020,Delta_Logistics,2023-09-09,2023-09-24,Raw Materials,Delivered,180,45.74,38.89,,No,0,2023-09,8233.2,7000.2,1233.000000000001,0,,0,0.14975951027547016
PO-00021,Epsilon_Group,2022-01-28,2022-02-12,Electronics,Cancelled,1735,20.54,19.69,49.0,Yes,1,2022-01,35636.9,34162.15,1474.75,1,0.02824207492795389,1,0.04138266796494645
PO-00022,Delta_Logistics,2023-07-29,2023-08-11,Raw Materials,Delivered,1382,24.93,23.75,,Yes,1,2023-07,34453.26,32822.5,1630.760000000002,0,,0,0.04733253108704378
PO-00023,Epsilon_Group,2022-07-23,2022-08-08,MRO,Delivered,819,80.89,77.03,29.0,Yes,1,2022-07,66248.91,63087.57,3161.340000000004,1,0.03540903540903541,0,0.04771912473729762
PO-00024,Beta_Supplies,2023-10-28,2023-11-03,Office Supplies,Partially Delivered,393,72.53,66.31,42.0,No,0,2023-10,28504.29,26059.83,2444.459999999999,1,0.10687022900763359,0,0.08575761753757062
PO-00025,Beta_Supplies,2023-12-20,2024-01-01,MRO,Delivered,1565,21.3,20.09,161.0,Yes,1,2023-12,33334.5,31440.85,1893.6500000000015,1,0.10287539936102237,0,0.05680751173708925
PO-00026,Epsilon_Group,2023-07-13,2023-07-24,Packaging,Delivered,1487,19.15,17.24,,Yes,1,2023-07,28476.05,25635.879999999997,2840.170000000002,0,,0,0.09973890339425594
PO-00027,Alpha_Inc,2023-03-06,2023-03-26,MRO,Delivered,855,78.2,67.16,17.0,Yes,1,2023-03,66861.0,57421.799999999996,9439.200000000004,1,0.019883040935672516,0,0.14117647058823535
PO-00028,Epsilon_Group,2022-08-14,2022-08-23,Raw Materials,Delivered,435,17.13,15.84,8.0,Yes,1,2022-08,7451.549999999999,6890.4,561.1499999999996,1,0.01839080459770115,0,0.07530647985989487
PO-00029,Delta_Logistics,2023-04-05,2023-04-22,MRO,Delivered,1265,90.26,79.47,187.0,Yes,1,2023-04,114178.90000000001,100529.55,13649.350000000006,1,0.14782608695652175,0,0.11954354088189678
PO-00030,Epsilon_Group,2023-08-27,,MRO,Delivered,1005,80.55,73.31,30.0,Yes,1,2023-08,80952.75,73676.55,7276.199999999997,1,0.029850746268656716,1,0.08988206083178146
PO-00031,Gamma_Co,2022-10-12,2022-10-26,Electronics,Delivered,326,18.1,15.92,,No,0,2022-10,5900.6,5189.92,710.6800000000003,0,,0,0.12044198895027629
PO-00032,Alpha_Inc,2022-01-07,2022-01-15,Office Supplies,Delivered,1234,17.64,15.66,26.0,Yes,1,2022-01,21767.760000000002,19324.44,2443.3200000000033,1,0.02106969205834684,0,0.11224489795918381
PO-00033,Epsilon_Group,2022-06-13,2022-06-29,MRO,Delivered,509,101.27,97.82,19.0,Yes,1,2022-06,51546.43,49790.38,1756.050000000003,1,0.03732809430255403,0,0.034067344722030275
PO-00034,Alpha_Inc,2023-12-16,2023-12-17,Packaging,Delivered,1387,48.71,43.71,27.0,Yes,1,2023-12,67560.77,60625.770000000004,6935.0,1,0.01946647440519106,0,0.10264832683227262
PO-00035,Alpha_Inc,2023-03-09,2023-03-17,MRO,Delivered,71,46.39,43.18,0.0,Yes,1,2023-03,3293.69,3065.78,227.90999999999985,0,0.0,0,0.06919594740245738
PO-00036,Epsilon_Group,2022-12-15,2022-12-23,Office Supplies,Delivered,302,87.73,81.52,9.0,Yes,1,2022-12,26494.460000000003,24619.039999999997,1875.4200000000055,1,0.029801324503311258,0,0.07078536418556956
PO-00037,Epsilon_Group,2022-10-12,2022-10-31,Office Supplies,Pending,797,99.54,91.37,18.0,Yes,1,2022-10,79333.38,72821.89,6511.490000000005,1,0.02258469259723965,1,0.08207755676110112
PO-00038,Beta_Supplies,2022-06-09,2022-06-27,Office Supplies,Pending,906,101.21,90.9,94.0,Yes,1,2022-06,91696.26,82355.40000000001,9340.859999999986,1,0.10375275938189846,1,0.10186740440667903
PO-00039,Epsilon_Group,2022-08-09,2022-08-23,Office Supplies,Delivered,1634,80.53,76.15,50.0,Yes,1,2022-08,131586.02,124429.1,7156.919999999984,1,0.030599755201958383,0,0.05438966844654154
PO-00040,Epsilon_Group,2022-12-11,,Office Supplies,Delivered,524,46.28,39.65,14.0,Yes,1,2022-12,24250.72,20776.6,3474.1200000000026,1,0.026717557251908396,1,0.14325842696629223
PO-00041,Beta_Supplies,2022-04-15,2022-04-27,Electronics,Delivered,1132,17.78,15.36,96.0,Yes,1,2022-04,20126.960000000003,17387.52,2739.4400000000023,1,0.08480565371024736,0,0.13610798650168737
PO-00042,Beta_Supplies,2022-04-05,2022-04-14,Office Supplies,Delivered,560,81.14,77.87,34.0,No,0,2022-04,45438.4,43607.200000000004,1831.199999999997,1,0.060714285714285714,0,0.04030071481390183
PO-00043,Gamma_Co,2023-01-25,2023-02-02,Electronics,Delivered,1755,63.87,58.4,85.0,Yes,1,2023-01,112091.84999999999,102492.0,9599.849999999991,1,0.04843304843304843,0,0.0856427117582589
PO-00044,Epsilon_Group,2022-04-10,2022-04-17,MRO,Delivered,1549,48.9,42.42,48.0,Yes,1,2022-04,75746.09999999999,65708.58,10037.51999999999,1,0.030987734021949646,0,0.13251533742331276
PO-00045,Delta_Logistics,2023-01-03,2023-01-21,MRO,Delivered,749,97.07,94.16,123.0,Yes,1,2023-01,72705.43,70525.84,2179.5899999999965,1,0.16421895861148197,0,0.029978366127536783
PO-00046,Alpha_Inc,2022-12-19,,Electronics,Delivered,1025,21.11,19.25,15.0,Yes,1,2022-12,21637.75,19731.25,1906.5,1,0.014634146341463415,1,0.08810990052108006
PO-00047,Beta_Supplies,2023-09-11,2023-09-18,Raw Materials,Delivered,1856,59.77,50.81,191.0,Yes,1,2023-09,110933.12000000001,94303.36,16629.76000000001,1,0.10290948275862069,0,0.14990798059227045
PO-00048,Epsilon_Group,2022-09-28,2022-10-14,Office Supplies,Delivered,239,11.46,11.28,4.0,Yes,1,2022-09,2738.94,2695.92,43.01999999999998,1,0.016736401673640166,0,0.015706806282722505
PO-00049,Delta_Logistics,2022-02-14,2022-03-05,Office Supplies,Pending,1007,52.44,46.06,167.0,Yes,1,2022-02,52807.079999999994,46382.420000000006,6424.659999999989,1,0.16583912611717974,1,0.12166285278413405
PO-00050,Alpha_Inc,2023-04-16,,MRO,Pending,736,16.2,15.33,18.0,Yes,1,2023-04,11923.199999999999,11282.88,640.3199999999997,1,0.024456521739130436,1,0.053703703703703684
PO-00051,Epsilon_Group,2023-07-04,2023-07-14,Electronics,Delivered,1007,22.56,19.59,,Yes,1,2023-07,22717.92,19727.13,2990.7899999999972,0,,0,0.13164893617021264
PO-00052,Delta_Logistics,2022-05-08,,Office Supplies,Delivered,612,20.99,19.75,102.0,Yes,1,2022-05,12845.88,12087.0,758.8799999999992,1,0.16666666666666666,1,0.059075750357312946
PO-00053,Alpha_Inc,2023-01-23,2023-02-02,MRO,Pending,1949,72.53,63.26,48.0,No,0,2023-01,141360.97,123293.73999999999,18067.23000000001,1,0.024628014366341714,1,0.12780918240727981
PO-00054,Delta_Logistics,2022-03-22,2022-03-28,Office Supplies,Cancelled,1640,77.92,76.41,262.0,No,0,2022-03,127788.8,125312.4,2476.4000000000087,1,0.1597560975609756,1,0.019378850102669473
PO-00055,Beta_Supplies,2023-07-20,2023-08-07,Electronics,Delivered,1317,68.13,60.52,136.0,Yes,1,2023-07,89727.20999999999,79704.84000000001,10022.36999999998,1,0.10326499620349279,0,0.11169822398356063
PO-00056,Epsilon_Group,2022-10-28,2022-10-30,Raw Materials,Delivered,881,100.94,95.05,30.0,Yes,1,2022-10,88928.14,83739.05,5189.0899999999965,1,0.0340522133938706,0,0.05835149593818106
PO-00057,Delta_Logistics,2023-10-06,,Packaging,Delivered,1578,48.33,42.77,206.0,Yes,1,2023-10,76264.73999999999,67491.06,8773.679999999993,1,0.13054499366286437,1,0.1150424167183943
PO-00058,Delta_Logistics,2023-09-26,2023-10-01,MRO,Delivered,1204,39.29,35.44,,Yes,1,2023-09,47305.159999999996,42669.759999999995,4635.4000000000015,0,,0,0.09798931025706291
PO-00059,Epsilon_Group,2023-01-06,2023-01-22,MRO,Pending,1558,93.46,91.27,39.0,Yes,1,2023-01,145610.68,142198.66,3412.0199999999895,1,0.02503209242618742,1,0.023432484485341253
PO-00060,Alpha_Inc,2023-08-15,2023-08-16,Packaging,Delivered,1892,32.99,28.81,35.0,Yes,1,2023-08,62417.08,54508.52,7908.560000000005,1,0.01849894291754757,0,0.1267050621400425
PO-00061,Epsilon_Group,2022-07-16,2022-08-01,Packaging,Delivered,696,99.59,90.18,25.0,Yes,1,2022-07,69314.64,62765.280000000006,6549.359999999993,1,0.035919540229885055,0,0.09448739833316588
PO-00062,Delta_Logistics,2023-12-23,2024-01-03,MRO,Partially Delivered,70,12.37,11.04,10.0,Yes,1,2023-12,865.9,772.8,93.10000000000002,1,0.14285714285714285,0,0.10751818916734036
PO-00063,Gamma_Co,2022-03-13,2022-03-15,Raw Materials,Delivered,890,98.26,93.14,49.0,Yes,1,2022-03,87451.40000000001,82894.6,4556.800000000003,1,0.0550561797752809,0,0.0521066558111134
PO-00064,Alpha_Inc,2022-02-16,2022-03-04,MRO,Delivered,216,13.95,12.31,5.0,Yes,1,2022-02,3013.2,2658.96,354.2399999999998,1,0.023148148148148147,0,0.11756272401433686
PO-00065,Delta_Logistics,2023-11-09,2023-11-12,Packaging,Delivered,1347,100.13,94.3,200.0,Yes,1,2023-11,134875.11,127022.09999999999,7853.009999999995,1,0.14847809948032664,0,0.05822430839908116
PO-00066,Gamma_Co,2022-08-22,2022-08-25,Office Supplies,Partially Delivered,437,59.51,56.45,25.0,No,0,2022-08,26005.87,24668.65,1337.2199999999975,1,0.057208237986270026,0,0.051419929423626186
PO-00067,Alpha_Inc,2022-10-24,2022-10-26,Electronics,Delivered,650,103.84,88.28,12.0,Yes,1,2022-10,67496.0,57382.0,10114.0,1,0.018461538461538463,0,0.14984591679506934
PO-00068,Beta_Supplies,2022-03-23,2022-04-11,Office Supplies,Delivered,365,16.81,15.41,38.0,Yes,1,2022-03,6135.65,5624.65,511.0,1,0.10410958904109589,0,0.08328375966686496
PO-00069,Epsilon_Group,2022-08-27,,Raw Materials,Cancelled,63,61.94,53.8,,Yes,1,2022-08,3902.22,3389.3999999999996,512.8200000000002,0,,1,0.13141750080723286
PO-00070,Alpha_Inc,2022-04-14,2022-04-22,MRO,Delivered,291,98.7,87.02,9.0,Yes,1,2022-04,28721.7,25322.82,3398.880000000001,1,0.030927835051546393,0,0.11833839918946305
PO-00071,Alpha_Inc,2023-01-25,2023-02-08,MRO,Cancelled,826,60.5,57.18,18.0,Yes,1,2023-01,49973.0,47230.68,2742.3199999999997,1,0.021791767554479417,1,0.054876033057851235
PO-00072,Delta_Logistics,2022-10-12,2022-11-01,Electronics,Pending,1419,69.64,59.28,194.0,Yes,1,2022-10,98819.16,84118.32,14700.839999999997,1,0.13671599718111346,1,0.1487650775416427
PO-00073,Gamma_Co,2023-04-10,2023-04-27,Office Supplies,Delivered,614,78.06,73.95,40.0,Yes,1,2023-04,47928.840000000004,45405.3,2523.540000000001,1,0.06514657980456026,0,0.05265180630284398
PO-00074,Alpha_Inc,2023-10-13,2023-10-28,Electronics,Delivered,947,56.25,54.25,19.0,Yes,1,2023-10,53268.75,51374.75,1894.0,1,0.02006335797254488,0,0.035555555555555556
PO-00075,Epsilon_Group,2023-01-09,2023-01-28,Raw Materials,Delivered,1413,70.47,69.65,,Yes,1,2023-01,99574.11,98415.45000000001,1158.659999999989,0,,0,0.011636157230026851
PO-00076,Alpha_Inc,2022-06-16,,Office Supplies,Partially Delivered,141,64.15,58.32,,Yes,1,2022-06,9045.150000000001,8223.12,822.0300000000007,0,,1,0.0908807482462978
PO-00077,Alpha_Inc,2023-01-15,2023-02-04,Office Supplies,Delivered,1440,96.57,83.87,36.0,Yes,1,2023-01,139060.8,120772.8,18287.999999999985,1,0.025,0,0.1315108211659935
PO-00078,Delta_Logistics,2022-12-30,2023-01-03,Raw Materials,Delivered,1005,14.87,12.79,,No,0,2022-12,14944.349999999999,12853.949999999999,2090.3999999999996,0,,0,0.13987895090786817
PO-00079,Alpha_Inc,2022-08-03,,MRO,Delivered,1528,36.52,33.0,31.0,No,0,2022-08,55802.560000000005,50424.0,5378.560000000005,1,0.020287958115183247,1,0.09638554216867477
PO-00080,Gamma_Co,2023-11-18,2023-11-25,MRO,Delivered,1501,106.05,100.99,77.0,No,0,2023-11,159181.05,151585.99,7595.059999999998,1,0.051299133910726186,0,0.0477133427628477
PO-00081,Delta_Logistics,2022-10-01,2022-10-04,Packaging,Delivered,558,94.18,81.4,,No,0,2022-10,52552.44,45421.200000000004,7131.239999999998,0,,0,0.13569760033977485
PO-00082,Beta_Supplies,2023-12-20,2023-12-26,MRO,Delivered,825,56.88,50.84,,Yes,1,2023-12,46926.0,41943.0,4983.0,0,,0,0.10618846694796062
PO-00083,Beta_Supplies,2023-12-01,2023-12-07,Electronics,Cancelled,84,73.38,71.42,9.0,Yes,1,2023-12,6163.92,5999.28,164.64000000000033,1,0.10714285714285714,1,0.02671027527936773
PO-00084,Delta_Logistics,2023-10-26,2023-11-10,Raw Materials,Delivered,255,38.64,33.59,27.0,No,0,2023-10,9853.2,8565.45,1287.75,1,0.10588235294117647,0,0.1306935817805383
PO-00085,Gamma_Co,2022-03-15,2022-03-31,MRO,Delivered,1154,27.2,26.07,58.0,Yes,1,2022-03,31388.8,30084.78,1304.0200000000004,1,0.05025996533795494,0,0.041544117647058836
PO-00086,Delta_Logistics,2023-09-16,2023-09-24,Office Supplies,Delivered,1635,56.91,54.37,262.0,No,0,2023-09,93047.84999999999,88894.95,4152.899999999994,1,0.1602446483180428,0,0.04463187489017741
PO-00087,Delta_Logistics,2023-10-13,2023-10-23,Raw Materials,Delivered,1945,46.19,40.12,278.0,No,0,2023-10,89839.54999999999,78033.4,11806.149999999994,1,0.1429305912596401,0,0.1314137259147001
PO-00088,Delta_Logistics,2022-06-25,2022-07-10,MRO,Partially Delivered,1461,64.09,63.39,228.0,No,0,2022-06,93635.49,92612.79,1022.7000000000116,1,0.15605749486652978,0,0.010922140739585083
PO-00089,Delta_Logistics,2023-07-01,2023-07-09,Electronics,Delivered,1075,18.53,16.12,147.0,Yes,1,2023-07,19919.75,17329.0,2590.75,1,0.13674418604651162,0,0.1300593631948192
PO-00090,Alpha_Inc,2022-09-08,,Packaging,Delivered,1071,101.6,93.91,25.0,Yes,1,2022-09,108813.59999999999,100577.61,8235.98999999999,1,0.02334267040149393,1,0.07568897637795267
PO-00091,Epsilon_Group,2022-06-17,2022-07-06,Packaging,Pending,1463,101.23,86.17,43.0,Yes,1,2022-06,148099.49000000002,126066.71,22032.780000000013,1,0.02939166097060834,1,0.14877012743257934
PO-00092,Beta_Supplies,2023-04-19,2023-04-26,Raw Materials,Delivered,615,78.3,73.68,69.0,Yes,1,2023-04,48154.5,45313.200000000004,2841.2999999999956,1,0.11219512195121951,0,0.05900383141762443
PO-00093,Gamma_Co,2023-01-24,2023-02-11,Electronics,Delivered,1179,61.74,56.28,,Yes,1,2023-01,72791.46,66354.12,6437.340000000011,0,,0,0.08843537414966
PO-00094,Alpha_Inc,2022-10-04,2022-10-09,Electronics,Partially Delivered,1845,39.56,37.63,45.0,Yes,1,2022-10,72988.2,69427.35,3560.8499999999913,1,0.024390243902439025,0,0.04878665318503527
PO-00095,Beta_Supplies,2023-10-18,,Electronics,Cancelled,1895,91.98,86.27,170.0,Yes,1,2023-10,174302.1,163481.65,10820.450000000012,1,0.08970976253298153,1,0.062078712763644336
PO-00096,Epsilon_Group,2023-12-06,2023-12-09,MRO,Partially Delivered,1550,79.86,69.57,32.0,No,0,2023-12,123783.0,107833.49999999999,15949.500000000015,1,0.02064516129032258,0,0.1288504883546207
PO-00097,Delta_Logistics,2023-07-25,2023-08-04,Packaging,Delivered,752,26.85,24.37,,No,0,2023-07,20191.2,18326.24,1864.9599999999991,0,,0,0.092364990689013
PO-00098,Epsilon_Group,2022-08-13,2022-09-01,Electronics,Delivered,451,95.2,90.07,21.0,Yes,1,2022-08,42935.200000000004,40621.57,2313.6300000000047,1,0.04656319290465632,0,0.05388655462184884
PO-00099,Beta_Supplies,2023-12-03,,Office Supplies,Delivered,779,93.69,90.92,66.0,Yes,1,2023-12,72984.51,70826.68000000001,2157.829999999987,1,0.08472400513478819,1,0.02956558864339827
PO-00100,Beta_Supplies,2022-11-29,2022-12-14,MRO,Pending,1629,100.26,86.44,187.0,No,0,2022-11,163323.54,140810.76,22512.78,1,0.11479435236341314,1,0.13784161180929583
PO-00101,Alpha_Inc,2022-02-27,2022-02-22,Office Supplies,Delivered,211,75.69,65.4,2.0,Yes,1,2022-02,15970.59,13799.400000000001,2171.1899999999987,1,0.009478672985781991,0,0.1359492667459373
PO-00102,Alpha_Inc,2022-08-23,,Office Supplies,Delivered,251,67.49,64.48,2.0,Yes,1,2022-08,16939.989999999998,16184.480000000001,755.5099999999966,1,0.00796812749003984,1,0.04459919988146373
PO-00103,Gamma_Co,2022-02-02,2022-02-18,Raw Materials,Delivered,1045,47.88,44.65,69.0,Yes,1,2022-02,50034.600000000006,46659.25,3375.350000000006,1,0.0660287081339713,0,0.06746031746031757
PO-00104,Delta_Logistics,2022-11-20,2022-12-10,MRO,Delivered,319,98.64,89.15,57.0,Yes,1,2022-11,31466.16,28438.850000000002,3027.3099999999977,1,0.1786833855799373,0,0.09620843471208428
PO-00105,Epsilon_Group,2023-02-15,2023-03-01,Office Supplies,Partially Delivered,1936,93.66,92.24,58.0,Yes,1,2023-02,181325.75999999998,178576.63999999998,2749.1199999999953,1,0.029958677685950414,0,0.01516122143924832
PO-00106,Delta_Logistics,2022-10-02,2022-10-22,MRO,Cancelled,865,14.7,13.14,135.0,No,0,2022-10,12715.5,11366.1,1349.3999999999996,1,0.15606936416184972,1,0.1061224489795918
PO-00107,Epsilon_Group,2022-03-09,2022-03-12,Electronics,Delivered,1344,12.5,10.87,44.0,Yes,1,2022-03,16800.0,14609.279999999999,2190.720000000001,1,0.03273809523809524,0,0.13040000000000007
PO-00108,Delta_Logistics,2022-08-05,2022-08-24,Raw Materials,Pending,505,45.42,40.37,62.0,Yes,1,2022-08,22937.100000000002,20386.85,2550.2500000000036,1,0.12277227722772277,1,0.11118450022016747
PO-00109,Beta_Supplies,2023-08-04,2023-08-05,Packaging,Delivered,1535,90.83,78.28,151.0,No,0,2023-08,139424.05,120159.8,19264.249999999985,1,0.098371335504886,0,0.1381702080810304
PO-00110,Beta_Supplies,2022-11-19,,Office Supplies,Delivered,1800,103.8,96.27,166.0,Yes,1,2022-11,186840.0,173286.0,13554.0,1,0.09222222222222222,1,0.07254335260115607
PO-00111,Delta_Logistics,2022-08-06,2022-08-15,Raw Materials,Pending,1325,24.36,22.75,206.0,Yes,1,2022-08,32277.0,30143.75,2133.25,1,0.15547169811320755,1,0.06609195402298851
PO-00112,Gamma_Co,2023-11-03,2023-11-09,Raw Materials,Delivered,1066,70.45,65.88,56.0,No,0,2023-11,75099.7,70228.08,4871.619999999995,1,0.0525328330206379,0,0.06486870120652939
PO-00113,Beta_Supplies,2023-05-27,2023-06-11,Raw Materials,Delivered,1775,47.82,45.86,180.0,Yes,1,2023-05,84880.5,81401.5,3479.0,1,0.10140845070422536,0,0.040987034713508994
PO-00114,Gamma_Co,2023-02-10,,Raw Materials,Partially Delivered,345,103.62,98.09,25.0,No,0,2023-02,35748.9,33841.05,1907.8499999999985,1,0.07246376811594203,1,0.05336807566106925
PO-00115,Beta_Supplies,2023-10-21,2023-11-09,Electronics,Delivered,1798,94.8,91.83,,Yes,1,2023-10,170450.4,165110.34,5340.059999999998,0,,0,0.03132911392405062
PO-00116,Alpha_Inc,2023-04-15,2023-05-01,MRO,Delivered,769,91.86,86.55,17.0,Yes,1,2023-04,70640.34,66556.95,4083.3899999999994,1,0.022106631989596878,0,0.05780535597648595
PO-00117,Alpha_Inc,2022-05-27,,Packaging,Delivered,1822,53.23,47.49,39.0,Yes,1,2022-05,96985.06,86526.78,10458.279999999999,1,0.021405049396267837,1,0.10783392823595715
PO-00118,Delta_Logistics,2022-09-29,2022-10-13,Packaging,Delivered,387,49.23,45.41,61.0,Yes,1,2022-09,19052.01,17573.67,1478.3400000000001,1,0.15762273901808785,0,0.07759496242128784
PO-00119,Epsilon_Group,2022-05-23,2022-05-27,MRO,Delivered,928,35.3,32.52,26.0,Yes,1,2022-05,32758.399999999998,30178.56,2579.8399999999965,1,0.028017241379310345,0,0.07875354107648715
PO-00120,Alpha_Inc,2022-09-10,2022-09-21,Packaging,Partially Delivered,1126,15.68,14.97,27.0,Yes,1,2022-09,17655.68,16856.22,799.4599999999991,1,0.023978685612788632,0,0.04528061224489791
PO-00121,Beta_Supplies,2023-07-29,2023-08-14,Raw Materials,Cancelled,841,95.73,85.33,81.0,Yes,1,2023-07,80508.93000000001,71762.53,8746.400000000009,1,0.09631391200951249,1,0.10863888018385051
PO-00122,Beta_Supplies,2023-07-06,2023-07-19,Electronics,Delivered,1995,90.65,77.75,206.0,Yes,1,2023-07,180846.75,155111.25,25735.5,1,0.10325814536340852,0,0.14230557087699944
PO-00123,Alpha_Inc,2022-09-27,2022-10-15,Raw Materials,Delivered,266,103.97,101.44,6.0,Yes,1,2022-09,27656.02,26983.04,672.9799999999996,1,0.022556390977443608,0,0.02433394248340866
PO-00124,Alpha_Inc,2023-08-22,2023-08-25,Raw Materials,Cancelled,813,109.17,107.39,14.0,Yes,1,2023-08,88755.21,87308.07,1447.1399999999994,1,0.017220172201722016,1,0.016304845653567823
PO-00125,Epsilon_Group,2023-03-15,2023-03-26,Electronics,Delivered,237,64.19,59.01,7.0,Yes,1,2023-03,15213.029999999999,13985.369999999999,1227.6599999999999,1,0.029535864978902954,0,0.0806979280261723
PO-00126,Alpha_Inc,2023-08-21,2023-09-03,Office Supplies,Cancelled,429,86.73,75.09,9.0,Yes,1,2023-08,37207.17,32213.61,4993.559999999998,1,0.02097902097902098,1,0.1342096160498097
PO-00127,Delta_Logistics,2023-02-13,2023-02-14,Packaging,Delivered,542,101.21,93.11,78.0,No,0,2023-02,54855.82,50465.62,4390.199999999997,1,0.14391143911439114,0,0.08003161742910775
PO-00128,Epsilon_Group,2023-01-06,2023-01-24,Electronics,Delivered,1114,91.66,85.53,35.0,Yes,1,2023-01,102109.23999999999,95280.42,6828.819999999992,1,0.03141831238779174,0,0.0668775910975343
PO-00129,Alpha_Inc,2022-08-13,2022-08-15,MRO,Delivered,1230,33.39,30.85,26.0,Yes,1,2022-08,41069.7,37945.5,3124.199999999997,1,0.02113821138211382,0,0.07607067984426469
PO-00130,Beta_Supplies,2022-05-22,2022-06-03,MRO,Delivered,64,51.56,50.88,5.0,Yes,1,2022-05,3299.84,3256.32,43.51999999999998,1,0.078125,0,0.01318851823118696
PO-00131,Alpha_Inc,2023-06-06,2023-06-22,MRO,Delivered,1886,23.46,23.18,,Yes,1,2023-06,44245.560000000005,43717.479999999996,528.080000000009,0,,0,0.01193520886615536
PO-00132,Delta_Logistics,2023-05-21,2023-05-23,Office Supplies,Delivered,114,103.53,101.54,14.0,Yes,1,2023-05,11802.42,11575.560000000001,226.85999999999876,1,0.12280701754385964,0,0.01922148169612662
